자치구,대여소명,기준년월,대여건수,반납건수,대여소명_clean,대여소_ID,주소1,주소2,위도,경도
양천구,729. 서부식자재마트 건너편,202501,961,939,서부식자재마트 건너편,ST-1000,서울특별시 양천구 신정동 236,서부식자재마트 건너편,37.51038,126.866798
양천구,731. 서울시 도로환경관리센터,202501,1671,1722,서울시 도로환경관리센터,ST-1002,서울특별시 양천구 목동동로 316-6,서울시 도로환경관리센터,37.5299,126.876541
양천구,733. 신정이펜하우스314동,202501,299,154,신정이펜하우스314동,ST-1004,서울특별시 양천구 신정이펜1로50,신정이펜하우스314동,37.514099,126.831001
양천구,734. 신트리공원 입구,202501,1555,1549,신트리공원 입구,ST-1005,서울특별시 양천구 신정동 310-8,신트리공원 입구,37.51395,126.856056
양천구,736. 오솔길공원,202501,470,463,오솔길공원,ST-1007,서울특별시 양천구 남부순환로70길11-9,오솔길공원,37.52219,126.8367
양천구,740. 으뜸공원,202501,567,650,으뜸공원,ST-1011,서울특별시 양천구 가로공원로 133,으뜸공원,37.536369,126.831711
양천구,741. 화곡로 입구 교차로,202501,187,186,화곡로 입구 교차로,ST-1012,서울특별시 양천구 신월동 258,화곡로 입구 교차로,37.53952,126.825401
양천구,742. 등촌역 5번 출구 뒤,202501,395,398,등촌역 5번 출구 뒤,ST-1013,서울특별시 양천구 등촌로 236,등촌역 5번 출구 뒤,37.550732,126.864578
양천구,743. 현대6차아파트 101동 옆,202501,464,456,현대6차아파트 101동 옆,ST-1014,서울특별시 양천구 신정동 735-5,현대6차아파트 101동 옆,37.5089,126.842682
양천구,744. 신목동역 2번 출구,202501,1817,1818,신목동역 2번 출구,ST-1015,서울특별시 양천구 목동중앙로 212 앞,신목동역 2번 출구,37.543842,126.882545
양천구,745. 강서초등학교,202501,238,243,강서초등학교,ST-1016,서울특별시 양천구 오목로 31 부근,강서초등학교,37.522282,126.839699
양천구,746. 목동2단지 상가,202501,2185,2214,목동2단지 상가,ST-1017,서울특별시 양천구 목동 902-5,목동2단지 상가,37.536503,126.877747
양천구,747. 목동3단지 상가,202501,1415,1429,목동3단지 상가,ST-1018,서울특별시 양천구 목동 903-6,목동3단지 상가,37.53458,126.875649
양천구,748. 목동운동장,202501,306,379,목동운동장,ST-1019,서울특별시 양천구 안양천로 939,목동운동장,37.530251,126.879303
은평구,937. 상림마을 롯데캐슬2단지 옆,202501,49,54,상림마을 롯데캐슬2단지 옆,ST-1023,서울특별시 은평구 진관동 30-23,상림마을 롯데캐슬2단지 옆,37.645851,126.923798
은평구,938. 금암 문화공원,202501,76,76,금암 문화공원,ST-1024,서울특별시 은평구 진관동 44-28,금암 문화공원,37.644684,126.918457
은평구,939. 은평구청 교차로,202501,288,294,은평구청 교차로,ST-1025,서울특별시 은평구 응암동 82-31,은평구청 교차로,37.6017,126.927422
은평구,941. 은평뉴타운 도서관,202501,252,69,은평뉴타운 도서관,ST-1027,서울특별시 은평구 진관동 141-27,은평뉴타운 도서관,37.637222,126.933304
은평구,942. 상림마을 생태공원,202501,123,121,상림마을 생태공원,ST-1028,서울특별시 은평구 진관동 16-4,상림마을 생태공원,37.644081,126.929283
은평구,943. 은평구청 보건소,202501,895,976,은평구청 보건소,ST-1029,서울특별시 은평구 녹번동 84,은평구청 보건소,37.602402,126.92865
은평구,946. 독바위역 ,202501,214,209,독바위역,ST-1032,서울특별시 은평구 불광로 129,독바위역,37.618439,126.932884
은평구,947. 연신내 선일하이츠빌 정류소,202501,115,103,연신내 선일하이츠빌 정류소,ST-1033,서울특별시 은평구 불광동 484-165,연신내 선일하이츠빌 정류소,37.622669,126.919991
은평구,949. 연신내역 1번 출구 ,202501,569,685,연신내역 1번 출구,ST-1035,서울특별시 은평구 불광동 487-2,연신내역 1번 출구,37.619781,126.920807
은평구,952. 서울연신중학교,202501,218,215,서울연신중학교,ST-1038,서울특별시 은평구 불광동 400-4번지,서울연신중학교,37.62265,126.925247
은평구,953. 서울연신초등학교,202501,148,141,서울연신초등학교,ST-1039,서울특별시 은평구 불광동 73-1번지,서울연신초등학교,37.625778,126.928818
강동구,1025. 상일초등학교,202501,327,308,상일초등학교,ST-1042,서울특별시 강동구 상일동 440-3,상일초등학교,37.546841,127.172516
강서구,1155. 기쁜우리복지관,202501,1114,1058,기쁜우리복지관,ST-1255,서울특별시 강서구 허준로 65,기쁜우리복지관,0.0,0.0
강서구,1155. 기쁜우리복지관,202501,1114,1058,기쁜우리복지관,ST-1067,서울특별시 강서구 가양동 1458-15,기쁜우리복지관,37.56926,126.848419
강서구,1157. 강서구청,202501,2082,2179,강서구청,ST-1069,서울특별시 강서구 화곡로 302,강서구청,37.550659,126.84977
송파구,1251. 석촌역 2번출구,202501,1297,1307,석촌역 2번출구,ST-1070,서울특별시 송파구 송파동 68,석촌역 2번출구,37.505932,127.10775
송파구,1253. 오금역 3번 출구 뒤,202501,351,303,오금역 3번 출구 뒤,ST-1072,서울특별시 송파구 가락동 10-15,오금역 3번 출구 뒤,37.501652,127.128181
송파구,1256. 문정현대아파트 교차로,202501,327,327,문정현대아파트 교차로,ST-1075,서울특별시 송파구 문정동 3-2,문정현대아파트 교차로,37.491131,127.125809
송파구,1258. 가락미륭아파트 앞,202501,217,187,가락미륭아파트 앞,ST-1077,서울특별시 송파구 가락동 195-4,가락미륭아파트 앞,37.493198,127.128998
송파구,1259. 방이역 1번출구,202501,869,886,방이역 1번출구,ST-1078,서울특별시 송파구 오금동 17-20,방이역 1번출구,37.508984,127.126595
송파구,1260. 방이동 한양3차아파트 옆,202501,663,658,방이동 한양3차아파트 옆,ST-1079,서울특별시 송파구 방이동 225-1,방이동 한양3차아파트 옆,37.506302,127.121399
송파구,1262. 송파여성문화회관 앞,202501,1131,1124,송파여성문화회관 앞,ST-1081,서울특별시 송파구 송파동 2-3,송파여성문화회관 앞,37.505802,127.109718
송파구,1263. 장지공영차고지,202501,205,201,장지공영차고지,ST-1082,서울특별시 송파구 장지동 861-6,장지공영차고지,37.480541,127.137016
송파구,1264. 천호역 10번 출구 앞,202501,1653,1661,천호역 10번 출구 앞,ST-1083,서울특별시 송파구 풍납동 490-16,천호역 10번 출구 앞,37.538582,127.122803
송파구,1265. 문정동 근린공원,202501,582,641,문정동 근린공원,ST-1084,서울특별시 송파구 문정동 38-3,문정동 근린공원,37.485989,127.124763
송파구,1267. 올림픽공원 남2문 앞,202501,392,379,올림픽공원 남2문 앞,ST-1086,서울특별시 송파구 올림픽로 424,올림픽공원 남2문 앞,37.51424,127.12307
송파구,1268. 몽촌토성역 1번출구 옆,202501,553,556,몽촌토성역 1번출구 옆,ST-1087,서울특별시 송파구 방이동 88-21,몽촌토성역 1번출구 옆,37.517288,127.114197
송파구,1269. 리센츠아파트 ,202501,835,734,리센츠아파트,ST-1088,서울특별시 송파구 올림픽로 135,리센츠아파트,37.511944,127.091217
송파구,1271. 송파도서관,202501,587,587,송파도서관,ST-1089,서울특별시 송파구 동남로 263,송파도서관,37.499985,127.135391
성동구,512. 뚝섬역 1번 출구 옆,202501,1163,1247,뚝섬역 1번 출구 옆,ST-109,서울특별시 성동구 아차산로 18,뚝섬역 1번 출구 옆,37.548561,127.045006
송파구,1274. 영파여고 앞,202501,734,700,영파여고 앞,ST-1092,서울특별시 송파구 올림픽로 565,영파여고 앞,37.532848,127.121048
중랑구,1444. 면목4치안센터,202501,531,735,면목4치안센터,ST-1095,서울특별시 중랑구 면목동 646-4,면목4치안센터,37.574028,127.080544
중랑구,1446. 중랑전화국 교차로,202501,980,1049,중랑전화국 교차로,ST-1097,서울특별시 중랑구 면목동 282-8,중랑전화국 교차로,37.591301,127.08033
중랑구,1447. 면목역 3번출구,202501,1071,1263,면목역 3번출구,ST-1098,서울특별시 중랑구 면목동 120-2,면목역 3번출구,37.588902,127.08728
중랑구,1448. 코스트코 상봉점,202501,1035,1036,코스트코 상봉점,ST-1099,서울특별시 중랑구 상봉동 160-3,코스트코 상봉점,37.597321,127.089798
마포구,400. 상암한화오벨리스크 1차 앞,202501,584,577,상암한화오벨리스크 1차 앞,ST-110,서울특별시 마포구 구룡길 19,상암한화오벨리스크 1차 앞,37.587524,126.883003
강북구,1527. 미아역 1번 출구 뒤,202501,385,372,미아역 1번 출구 뒤,ST-1101,서울특별시 강북구 미아동 194-1,미아역 1번 출구 뒤,37.627335,127.026054
강북구,1528. 삼각산동 주민센터,202501,326,132,삼각산동 주민센터,ST-1102,서울특별시 강북구 미아동 813-8,삼각산동 주민센터,37.615036,127.020699
강북구,1529. 미아동 한국전력공사,202501,700,676,미아동 한국전력공사,ST-1103,서울특별시 강북구 미아동 194-1,미아동 한국전력공사,37.63018,127.02491
강북구,1530. 광산사거리,202501,971,960,광산사거리,ST-1104,서울특별시 강북구 노해로 87,광산사거리,37.643551,127.022347
강북구,1531. 미아사거리 1번 출구,202501,1060,1165,미아사거리 1번 출구,ST-1105,서울특별시 강북구 미아동 66-1,미아사거리 1번 출구,37.613956,127.030251
강북구,1532. 번3동 주민센터 교차로,202501,491,527,번3동 주민센터 교차로,ST-1106,서울특별시 강북구 번동 2-2,번3동 주민센터 교차로,37.626354,127.047447
강북구,"1533. 번동 주공3, 4단지 교차로",202501,511,597,"번동 주공3, 4단지 교차로",ST-1107,서울특별시 강북구 번동 254,"번동 주공3, 4단지 교차로",37.629917,127.040916
강북구,1535. 효성인텔리안 앞,202501,991,992,효성인텔리안 앞,ST-1109,서울특별시 강북구  수유동 230-7,효성인텔리안 앞,37.636292,127.023376
성동구,513. 뚝섬역 5번 출구 정류소 옆,202501,666,657,뚝섬역 5번 출구 정류소 옆,ST-111,서울특별시 성동구 아차산로 18,뚝섬역 5번 출구 정류소 옆,37.546307,127.049805
강북구,1536. 번동 두산위브 101동 옆,202501,350,353,번동 두산위브 101동 옆,ST-1110,서울특별시 강북구 번동 386-17,번동 두산위브 101동 옆,37.636261,127.032173
노원구,1643. 태릉입구역 8번출구,202501,838,851,태릉입구역 8번출구,ST-1111,서울특별시 노원구 공릉동 687-6,태릉입구역 8번출구,37.617367,127.075211
노원구,1646. 삼육대 입구,202501,112,112,삼육대 입구,ST-1114,서울특별시 노원구 공릉동 26-43,삼육대 입구,37.638489,127.107903
노원구,1650. 중계근린공원내,202501,1972,1950,중계근린공원내,ST-1118,서울특별시 노원구 중계동 506-3,중계근린공원내,37.63958,127.065102
성동구,514. 성수사거리 버스정류장 앞,202501,1524,1569,성수사거리 버스정류장 앞,ST-112,서울특별시 성동구 아차산로 171,성수사거리 버스정류장 앞,37.54258,127.063309
노원구,1652. 파르코 앞,202501,172,172,파르코 앞,ST-1120,서울특별시 노원구 상계동 1263,파르코 앞,37.68,127.05558
노원구,1653. 노원역1번출구,202501,1885,1905,노원역1번출구,ST-1121,서울특별시 노원구 상계동 335-4,노원역1번출구,37.6562,127.063622
노원구,1655. 공릉1단지아파트,202501,1377,1349,공릉1단지아파트,ST-1123,서울특별시 중랑구 동일로 1127,공릉1단지아파트,37.631111,127.07016
노원구,1657. 노원구청 ,202501,1062,1067,노원구청,ST-1125,서울특별시 노원구 노해로 437,노원구청,37.654049,127.057327
노원구,1659. 중계동 을지중학교,202501,495,468,중계동 을지중학교,ST-1127,서울특별시 노원구 중계동 370,중계동 을지중학교,37.65033,127.071602
노원구,1660. 서울시립과학관,202501,215,162,서울시립과학관,ST-1128,서울특별시 노원구 하계동 266,서울시립과학관,37.642071,127.076622
도봉구,1714. 도봉문화정보도서관 삼거리,202501,204,42,도봉문화정보도서관 삼거리,ST-1130,서울특별시 도봉구 덕릉로 315,도봉문화정보도서관 삼거리,37.64463,127.044609
도봉구,1715. 서울특별시교육청도봉도서관,202501,281,287,서울특별시교육청도봉도서관,ST-1131,서울특별시 도봉구 삼양로556,서울특별시교육청도봉도서관,37.653179,127.012787
도봉구,1719. 신도봉사거리 버스정류장,202501,505,562,신도봉사거리 버스정류장,ST-1135,서울특별시 도봉구 도봉로 771,신도봉사거리 버스정류장,37.673283,127.043991
도봉구,1720. 도봉구청 옆(중랑천변),202501,597,607,도봉구청 옆(중랑천변),ST-1136,서울특별시 도봉구 마들로 656,도봉구청 옆(중랑천변),37.668671,127.047981
금천구,1841. 가산동 주민센터,202501,1026,1000,가산동 주민센터,ST-1142,서울특별시 금천구 가산동 144-3,가산동 주민센터,37.476952,126.891869
금천구,1842. 한울중학교,202501,103,31,한울중학교,ST-1143,서울특별시 금천구 시흥동 1000-3,한울중학교,37.462574,126.90686
금천구,1843. 독산고등학교,202501,287,209,독산고등학교,ST-1144,서울특별시 금천구 독산동 906-42,독산고등학교,37.477097,126.911133
